Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AG	AP	DDB	DL	JL	KT	NH	PO	RR	SK	SN
315	NS	7.0	9.9	0.541	C	0.021	31.108	2.000	0	0	0	0	0	0	0	0	0	0	0
316	NS	13.7	13.5	0.520	A	0.103	33.641	1.500	0	0	0	0	0	0	1	0	0	1	0
317	NS	14.0	13.6	0.520	A	0.109	33.779	3.100	0	0	0	0	0	0	0	0	0	0	0
318	SP	18.8	10.9	0.514	C	0.155	32.540	4.100	0	0	0	0	0	0	1	0	0	1	0
319	NS	9.1	11.3	0.532	B	0.039	33.924	4.500	0	0	0	0	0	0	0	0	0	0	0
320	NS	16.2	14.4	0.515	B	0.153	33.927	7.000	0	0	0	1	0	0	0	0	0	0	0
321	NS	18.2	15.0	0.510	A	0.199	34.049	9.000	1	1	1	0	1	1	0	0	0	0	1
323	BI	6.5	11.4	0.521	A	0.020	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0
324	NS	6.0	9.0	0.548	A	0.014	33.705	12.700	0	0	0	0	0	0	0	0	0	0	0
325	NS	21.4	15.9	0.502	A	0.287	33.627	14.700	0	0	0	1	0	0	0	0	0	0	1
326	NS	11.9	12.7	0.525	A	0.074	33.549	16.700	0	1	0	0	0	0	0	1	0	0	0
327	NS	13.3	13.3	0.521	A	0.096	33.367	18.800	0	0	0	0	1	1	0	1	1	1	0
328	NS	20.9	15.7	0.503	A	0.272	33.197	20.600	0	0	0	0	0	0	0	1	1	0	0
329	NS	13.4	13.4	0.521	A	0.098	33.219	22.600	1	0	1	1	1	1	0	0	1	0	1
330	NS	17.9	14.9	0.511	A	0.192	32.803	24.300	0	0	0	0	0	0	1	0	0	0	1
331	BI	6.0	11.2	0.529	A	0.017	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0
332	NS	11.3	12.4	0.526	C	0.066	32.790	25.900	0	0	1	0	0	1	0	0	1	1	0
333	NS	14.6	13.8	0.518	C	0.120	32.820	27.700	1	1	0	0	0	1	0	1	1	0	0
334	NS	8.3	10.8	0.535	C	0.031	32.680	31.300	0	0	0	0	0	0	0	0	0	0	0
335	NS	10.9	12.3	0.527	C	0.060	32.402	33.300	0	0	0	0	0	0	0	0	1	0	0
336	BI	6.5	11.4	0.521	B	0.020	32.467	34.200	0	0	0	0	0	0	0	0	0	0	1
337	NS	11.8	12.7	0.525	A	0.073	32.232	35.100	0	0	0	0	0	0	0	0	0	0	0
